Classe,Ordem,Família,Espécie/Grupo,Status CITES
,CLASS MAMMALIA (MAMMALS),ANTILOCAPRIDAE,Antilocapra americana (Only the population of Mexico; no other population is included in the,I
,CLASS MAMMALIA (MAMMALS),ANTILOCAPRIDAE,Appendices),I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis calamianensis,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis kuhlii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis porcinus annamiticus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Blastocerus dichotomus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Cervus elaphus hanglu,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Dama dama mesopotamica,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Hippocamelus spp.,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Muntiacus crinifrons,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Muntiacus vuquangensis,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Ozotoceros bezoarticus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Pudu puda,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Rucervus duvaucelii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Rucervus eldii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Cervus elaphus bactrianus,II
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Pudu mephistophiles,II
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis porcinus (Except the subspecies included in Appendix I) (Pakistan),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,"Cervus elaphus barbarus (Algeria,",III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Tunisia),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Mazama temama cerasina,III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,(Guatemala),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Odocoileus virginianus mayensis,III
,CLASS MAMMALIA (MAMMALS),GIRAFFIDAE,Giraffa camelopardalis,II
,CLASS MAMMALIA (MAMMALS),HIPPOPOTAMIDAE,Hexaprotodon liberiensis,II
,CLASS MAMMALIA (MAMMALS),HIPPOPOTAMIDAE,Hippopotamus amphibius,II
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa babyrussa,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa bolabatuensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa celebensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa togeanensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Sus salvanius,I
,CLASS MAMMALIA (MAMMALS),TAYASSUIDAE,Catagonus wagneri,I
,CLASS MAMMALIA (MAMMALS),TAYASSUIDAE,"TAYASSUIDAE spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",II
,CLASS MAMMALIA (MAMMALS),AILURIDAE,Ailurus fulgens,I
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes cana,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes zerda,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes griffithi (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes montana (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes pusilla (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Cryptoprocta ferox,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Eupleres goudotii,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Fossa fossana,II
,CLASS MAMMALIA (MAMMALS),FELIDAE,Lynx pardinus,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Neofelis diardi,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Neofelis nebulosa,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera leo (Only the populations of,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,India; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera onca,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera pardus,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera tigris,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera uncia,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Pardofelis marmorata,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus bengalensis bengalensis,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,"(Only the populations of Bangladesh,",I
,CLASS MAMMALIA (MAMMALS),FELIDAE,India and Thailand; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus planiceps,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus rubiginosus (Only the population of India; all other populations,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Puma concolor (Only the populations of Costa Rica and Panama; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,"Herpestes edwardsi (India, Pakistan)",III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes fuscus (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes javanicus (Pakistan),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes javanicus auropunctatus,III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,(India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes smithii (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes urva (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes vitticollis (India),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Hyaena hyaena (Pakistan),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Proteles cristata (Botswana),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Conepatus humboldtii,II
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Aonyx capensis microdon (Only the populations of Cameroon and Nigeria; all other populations are included in,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Appendix II),I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Aonyx cinereus,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Enhydra lutris nereis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra felina,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra longicaudis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra provocax,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutra lutra,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutra nippon,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutrogale perspicillata,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Pteronura brasiliensis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,LUTRINAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela nigripes,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Eira barbara (Honduras),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes flavigula (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes foina intermedia (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes gwatkinsii (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mellivora capensis (Botswana),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela altaica (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela erminea ferghanae (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela kathiah (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela sibirica (India),III
,CLASS MAMMALIA (MAMMALS),ODOBENIDAE,Odobenus rosmarus (Canada),III
,CLASS MAMMALIA (MAMMALS),OTARIIDAE,Arctocephalus townsendi,I
,CLASS MAMMALIA (MAMMALS),OTARIIDAE,Arctocephalus spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),PHOCIDAE,Monachus spp.,I
,CLASS MAMMALIA (MAMMALS),PHOCIDAE,Mirounga leonina,II
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Nasua narica (Honduras),III
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Nasua nasua solitaria (Uruguay),III
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Potos flavus (Honduras),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ailuropoda melanoleuca,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Helarctos malayanus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Melursus ursinus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Tremarctos ornatus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus arctos (Only the populations of,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,"Bhutan, China, Mexico and Mongolia; all other populations are included in",I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Appendix II),I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus arctos isabellinus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus thibetanus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,URSIDAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverra civettina (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverra zibetha (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverricula indica (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,CETACEA spp. A6 (Except the species,II
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaena mysticetus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Eubalaena spp.,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,"Balaenoptera acutorostrata (Except the population of West Greenland, which is included in Appendix II)",I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera bonaerensis,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera borealis,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera edeni,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera musculus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera omurai,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera physalus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Megaptera novaeangliae,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Orcaella brevirostris,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Orcaella heinsohni,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Sotalia spp.,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Sousa spp.,I
,CLASS MAMMALIA (MAMMALS),ESCHRICHTIIDAE,Eschrichtius robustus,I
,CLASS MAMMALIA (MAMMALS),INIIDAE,Lipotes vexillifer,I
,CLASS MAMMALIA (MAMMALS),NEOBALAENIDAE,Caperea marginata,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Neophocaena asiaeorientalis,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Neophocaena phocaenoides,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Phocoena sinus,I
,CLASS MAMMALIA (MAMMALS),PHYSETERIDAE,Physeter macrocephalus,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Platanista spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Berardius spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Hyperoodon spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Platyrrhinus lineatus (Uruguay),III
,CLASS MAMMALIA (MAMMALS),PTEROPODIDAE,Pteropus yapensis,I
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Priodontes maximus,I
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Chaetophractus nationi A7,II
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Cabassous tatouay (Uruguay),III
,CLASS MAMMALIA (MAMMALS),DASYURIDAE,Sminthopsis longicaudata,I
,CLASS MAMMALIA (MAMMALS),DASYURIDAE,Sminthopsis psammophila,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Lagorchestes hirsutus,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Lagostrophus fasciatus,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Onychogalea fraenata,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Dendrolagus inustus,II
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Dendrolagus ursinus,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Phalanger intercastellanus,II
